X,Y,Z,dip,azimuth,formation,polarity
1104624.655,1282639.133,688.6451651,86.1342,255.9491,Fault1,1
1104474.799,1282609.312,750.46156,73.4321,280.9819,Fault2,1
1105224.641,1282479.133,740.465645,81.4321,335.1131,Fault3,1
1104375.645,1282559.798,760.9789871,78.2344,175.1128,Fault4,1
1104571.132,1282546.313,627.702,10.4321,100.14423,fm_tiburon,1
1104979.988,1282333.313,630.742,3.4211,97.1243,fm_bocas,1
1105312.646,1282410.798,698.021,4.7542,105.41234,fm_diamante,1
1104571.466,1282546.132,676.002,4.1324,110.414231,QmBO1,1
1104776.646,1282770.312,679.765,2.1798,100.41234,QmBO2,1
1105312.132,1282410.124,786.521,10.1854,355.431324,Qd,1
1104571.799,1282546.133,745.502,3.4615,350.4321,Suelo,1
