X,Y,Z,formation,smooth
1104571.44,1282546.44,744.502,Suelo,1.00E-08
1104571.526,1282546.526,727.002,Qd,1.00E-08
1104571.667,1282546.667,685.002,QmBO2,1.00E-08
1104571.862,1282546.862,628.502,QmBO1,1.00E-08
1104571.98,1282546.98,610.502,fm_bocas,1.00E-08
1104872.177,1282566.177,732.001,Suelo,1.00E-08
1104872.875,1282566.875,672.601,QmBO2,1.00E-08
1104872.319,1282566.319,633.001,QmBO1,1.00E-08
1104872.638,1282566.638,614.001,fm_tiburon,1.00E-08
1104776.514,1282770.514,706.265,Suelo,1.00E-08
1104776.232,1282770.232,688.665,Qd,1.00E-08
1104776.33,1282770.33,679.765,QmBO2,1.00E-08
1104776.437,1282770.437,630.265,QmBO1,1.00E-08
1104776.726,1282770.726,610.265,fm_tiburon,1.00E-08
1105045.968,1282666.968,708.803,Suelo,1.00E-08
1105045.126,1282666.126,700.803,Qd,1.00E-08
1105045.029,1282666.029,684.303,QmBO2,1.00E-08
1105045.42,1282666.42,647.303,QmBO1,1.00E-08
1105045.15,1282666.15,631.303,fm_tiburon,1.00E-08
1105115.49,1282584.49,738.815,Suelo,1.00E-08
1105115.967,1282584.967,723.815,Qd,1.00E-08
1105115.643,1282584.643,712.315,QmBO2,1.00E-08
1105115.941,1282584.941,674.815,QmBO1,1.00E-08
1105115.151,1282584.151,660.815,fm_tiburon,1.00E-08
1104979.919,1282333.919,763.242,Suelo,1.00E-08
1104979.965,1282333.965,753.242,Qd,1.00E-08
1104979.542,1282333.542,709.702,QmBO2,1.00E-08
1104979.81,1282333.81,632.722,QmBO1,1.00E-08
1104979.457,1282333.457,618.742,fm_bocas,1.00E-08
1105312.194,1282410.194,792.521,Suelo,1.00E-08
1105312.728,1282410.728,781.521,Qd,1.00E-08
1105312.532,1282410.532,731.021,QmBO2,1.00E-08
1105312.902,1282410.902,701.521,QmBO1,1.00E-08
1105312.581,1282410.581,649.021,fm_diamante,1.00E-08
1104378.242,1282584.478,722.487,Fault1,1.00E-08
1105370.024,1282844.823,744.651,Fault1,1.00E-08
1104485.731,1282606.799,750.791,Fault2,1.00E-08
1105342.686,1282433.054,778.754,Fault2,1.00E-08
1104923.741,1283101.375,790.154,Fault3,1.00E-08
1105339.313,1282187.597,810.654,Fault3,1.00E-08
1104461.953,1283123.431,760.134,Fault4,1.00E-08
1104417.272,1282236.425,761.445,Fault4,1.00E-08
1104573.812,1282976.816,696.065,Suelo,1.00E-08
1104573.812,1282976.816,676.47,Qd,1.00E-08
1104573.812,1282976.816,674.04512,QmBO2,1.00E-08
1104573.812,1282976.816,615.615,QmBO1,1.00E-08
1104573.812,1282976.816,604.0654,fm_tiburon,1.00E-08
1105000.047,1283066.613,670.01,Suelo,1.00E-08
1105000.047,1283066.613,659.1056,Qd,1.00E-08
1105000.047,1283066.613,618.132,QmBO1,1.00E-08
1105000.047,1283066.613,604.1132,fm_tiburon,1.00E-08
1105145.903,1282141.016,793.1321,Suelo,1.00E-08
1105145.903,1282141.016,778.132,Qd,1.00E-08
1105145.903,1282141.016,744.0465,QmBO2,1.00E-08
1105145.903,1282141.016,662.0132,QmBO1,1.00E-08
1105145.903,1282141.016,639.021,fm_diamante,1.00E-08
1105145.903,1282141.016,610.06045,fm_bocas,1.00E-08
1104527.017,1282303.565,744.645,Suelo,1.00E-08
1104527.017,1282303.565,734.654,Qd,1.00E-08
1104527.017,1282303.565,690.605,QmBO2,1.00E-08
1104527.017,1282303.565,620.465,QmBO1,1.00E-08
